message,label,clean_message
Payment taken multiple times! kindly resolve,2,payment taken multiple time kindly resolve
Serious complaint: wrong person received my order and details!!!!,2,serious complaint wrong person received order detail
Need help with changing my address.,1,need help changing address
Urgent: money deducted but order failed! please help,2,urgent money deducted order failed please help
Your staff was polite. please help,0,staff polite please help
Your staff was polite. asap,0,staff polite asap
Urgent: money deducted but order failed! asap,2,urgent money deducted order failed asap
Immediate help needed: account locked with balance inside!,2,immediate help needed account locked balance inside
Unauthorized payment from my card! please help,2,unauthorized payment card please help
Your staff was polite. kindly resolve,0,staff polite kindly resolve
Prices seem reasonable. please help,0,price seem reasonable please help
Tracking info is not updating.!!!,1,tracking info updating
Urgent: money deducted but order failed!!!!,2,urgent money deducted order failed
Immediate help needed: account locked with balance inside! kindly resolve,2,immediate help needed account locked balance inside kindly resolve
Prices seem reasonable. kindly resolve,0,price seem reasonable kindly resolve
Unauthorized payment from my card! please help,2,unauthorized payment card please help
My account has been hacked! please help,2,account hacked please help
I like your service. please help,0,like service please help
Tracking info is not updating.!!!,1,tracking info updating
Critical: scam activity on my profile! asap,2,critical scam activity profile asap
I like your service.,0,like service
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
Tracking info is not updating. kindly resolve,1,tracking info updating kindly resolve
Prices seem reasonable. kindly resolve,0,price seem reasonable kindly resolve
I like your service.!!!,0,like service
Tracking info is not updating.,1,tracking info updating
Need help with changing my address.!!!,1,need help changing address
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
Need help with changing my address.!!!,1,need help changing address
Urgent: money deducted but order failed!,2,urgent money deducted order failed
Received a damaged package.!!!,1,received damaged package
Unauthorized payment from my card! asap,2,unauthorized payment card asap
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
Just giving feedback about the UI. please help,0,giving feedback ui please help
Unable to login sometimes. asap,1,unable login sometimes asap
Urgent: money deducted but order failed! kindly resolve,2,urgent money deducted order failed kindly resolve
Coupon code is not working.!!!,1,coupon code working
Prices seem reasonable. kindly resolve,0,price seem reasonable kindly resolve
Prices seem reasonable.!!!,0,price seem reasonable
Your staff was polite. asap,0,staff polite asap
Serious complaint: wrong person received my order and details!!!!,2,serious complaint wrong person received order detail
Just giving feedback about the UI. asap,0,giving feedback ui asap
"I was charged twice, fix this immediately!!!!",2,charged twice fix immediately
Unauthorized payment from my card!,2,unauthorized payment card
Unauthorized payment from my card! asap,2,unauthorized payment card asap
Urgent: money deducted but order failed! asap,2,urgent money deducted order failed asap
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
I have not received my refund yet. please help,1,received refund yet please help
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
